258,turno
255,segundo
121,covas
62,frança
53,russomano
51,russomanno
49,votar
48,paulo
41,pesquisa
39,#virasp50
38,ibope
38,voto
36,esquerda
36,pt
31,turno,
31,2º
29,virar
28,candidato
24,jogo
23,2°
